index,sentence,length
1439,So it's not just like the IDs or something like this.,2.46
1440,It's everything.,0.72
1441,"Yes, it's IDEs, the languages, the runtimes.",1.74
1442,"It's everything, and programming is tool complete.",2.42
1443,"So like almost if codecs or Copilot are helping you, that actually probably means that your framework or library is bad, and there's too much boilerplate in it.",10.98
1444,"Yeah, but don't you think so much programming has boilerplate?",3.56
1445,"TinyGrad is now 2,700 lines, and it can run LLAMA and stable diffusion, and all of this stuff is in 2,700 lines.",9.0
1446,Boilerplate and abstraction indirections and all these things are just bad code.,6.3
1447,"let's Well, talk about good code and bad code.",3.82
1448,"There's a, I would say, I don't know, for generic scripts that I write just offhand, like 80% of it is written by GPT.",8.08
1449,"Just like quick, quick, like offhand stuff.",2.28
1450,"So not like libraries, not like performing code, not stuff for robotics and so on, just quick stuff.",5.26
1451,"Because your basic, so much of programming is doing some, yeah, boilerplate, but to do so efficiently and quickly, because you can't really automate it fully with generic methods, like a generic kind of IDE type of recommendation or something like this.",19.16
1452,You do need to have some of the complexity of language models.,2.72
1453,"Yeah, I guess if I was really writing, maybe today, if I wrote a lot of data parsing stuff, I mean, I don't play CTFs anymore, but if I still played CTFs, a lot of it is just like, you have to write a parser for this data format.",11.38
1454,"Like I wonder, or like admin of code, I wonder when the models are gonna start to help with that kind of code.",6.56
1455,"And they may, they may, and the models also may help you with speed.",3.08
1456,And the models are very fast.,0.7
1457,"But where the models won't, my programming speed is not at all limited by my typing speed.",6.9
1458,"And in very few cases it is, yes.",4.46
1459,"If I'm writing some script to just like parse some weird data format, sure, my programming speed is limited by my typing speed.",6.12
1460,What about looking stuff up?,0.94
1461,"Because that's essentially a more efficient lookup, right?",2.22
1462,"You know, when I was at Twitter, I tried to use a chat GPT to like ask some questions, like what's the API for this?",8.22
1463,And it would just hallucinate.,2.08
1464,It would just give me completely made up API functions that sounded real.,3.74
1465,"Well, do you think that's just a temporary kind of stage?",2.7
1466,You don't think it'll get better and better and better in this kind of stuff?,2.74
1467,Because like it only hallucinates stuff in the edge cases.,3.02
1468,"If you're writing generic code, it's actually pretty good.",1.84
1469,"Yes, if you are writing an absolute basic like React app with a button, it's not gonna hallucinate, sure.",4.54
1470,"No, there's kind of ways to fix the hallucination problem.",2.38
1471,"I think Facebook has an interesting paper, it's called Atlas.",2.26
1472,And it's actually weird the way that we do language models right now where all of the information is in the weights.,7.44
1473,And human brains don't really like this.,1.4
1474,It's like a hippocampus in a memory system.,1.48
1475,So why don't LLMs have a memory system?,2.08
1476,And there's people working on them.,1.1
1477,"I think future LLMs are gonna be like smaller, but are going to run looping on themselves and are going to have retrieval systems.",7.72
1478,And the thing about using a retrieval system is you can cite sources explicitly.,3.8
1479,Which is really helpful to integrate the human into the loop of the thing.,6.68
1480,Because you can go check the sources and you can investigate.,2.48
1481,"So whenever the thing is hallucinating, you can have the human supervision.",4.04
1482,that's So pushing it towards level two kind of driving.,1.86
1483,That's gonna kill Google.,0.68
1484,"Wait, which part?",0.98
1485,"When someone makes an LLM that's capable of citing its sources, it will kill Google.",3.36
1486,LLM that's citing its sources because that's basically a search engine.,3.02
1487,That's what people want in a search engine.,2.38
1488,But also Google might be the people that build it.,2.02
1489,Maybe.,0.26
1490,And put ads on it.,0.84
1491,I'd count them out.,0.82
1492,"Why is that, why do you think?",1.06
1493,Who wins this race?,2.26
1494,"got, We who are the competitors?",1.56
1495,Tiny We got Corp.,1.42
1496,"I don't know if that's, yeah, mean, I you're a legitimate competitor in that.",4.0
1497,I'm not trying to compete on that.,1.1
1498,You're not?,0.5
1499,"No, not as a competitor.",0.56
1500,You're just gonna accidentally stumble into that competition.,1.68
1501,Maybe.,0.26
1502,You don't think you might build a search engine to replace Google search?,2.2
1503,"When I started Kama, I said over and over again, I'm going to win self-driving cars.",4.98
1504,I still believe that.,0.72
1505,I have never said I'm going to win search with the Tiny Corp.,3.52
1506,And I'm never going to say that because I won't.,2.18
1507,The night is still young.,1.16
1508,"We don't, you don't know how hard is it to win search in this new route.",3.72
1509,"Like it's, it feels, I mean, one of the things that ChatterGPT kind of shows that there could be a few interesting tricks that really have, that create a really compelling product.",8.34
1510,Some startup's gonna figure it out.,1.26
1511,"I think, I think if you ask me, like Google's still the number one webpage, I think by the end of the decade, Google won't be the number one webpage anymore.",5.8
1512,"So you don't think Google, because of the, how big the corporation is?",3.82
1513,"Look, I would put a lot more money on Mark Zuckerberg.",2.18
1514,Why is that?,0.62
1515,Because Mark Zuckerberg's alive.,2.08
1516,"Like, this is old Paul Graham essay.",2.4
1517,Startups are either alive or dead.,1.32
1518,Google's dead.,0.52
1519,Facebook's alive.,0.6
1520,"Versus Facebook is alive, Meta is alive.",2.3
1521,"Actually, Meta.",0.5
1522,Meta.,0.52
1523,You see what I mean?,0.66
1524,"Like, that's just like, like, like Mark Zuckerberg.",1.72
1525,"This is Mark Zuckerberg reading that Paul Graham essay and being like, I'm going to show everyone how alive we are.",4.06
1526,I'm going to change the name.,0.66
1527,"So you don't think there's this gutsy pivoting engine that, like, Google doesn't have that, the kind of engine that a startup has, like, constantly.",11.18
1528,You know what?,0.42
1529,"Being alive, I guess.",1.22
1530,"When I listened to your Sam Altman podcast, he talked about the button.",3.58
1531,"Everyone who talks about AI talks about the button, the button to turn it off, right?",2.46
1532,Do we have a button to turn off Google?,1.48
1533,Is anybody in the world capable of shutting Google down?,3.04
1534,What does that mean exactly?,1.52
1535,The company or the search engine?,1.4
1536,Could we shut the search engine down?,1.12
1537,Could we shut the company down?,0.9
1538,Either.,0.98
1539,Can you elaborate on the value of that question?,2.28
1540,Does Sundar Pichai have the authority to turn off google.com tomorrow?,3.44
1541,Who has the authority?,1.18
1542,"That's a good question, right?",0.64
1543,Does anyone?,0.48
1544,Does anyone?,0.38
1545,"Yeah, I'm sure.",1.3
1546,Are you sure?,0.52
1547,"No, they have the technical power, but do they have the authority?",2.7
1548,Let's say Sundar Pichai made this his sole mission.,2.7
1549,Yeah.,0.16
1550,"He came into Google tomorrow and said, I'm going to shut google.com down.",2.44
1551,Yeah.,0.26
1552,I don't think he'd keep his position too long.,1.84
1553,And No.,0.7
1554,what is the mechanism by which he wouldn't keep his position?,2.22
1555,"Well, boards and shares and corporate undermining and oh my God, our revenue is zero now.",6.34
1556,"Okay, so what's the case you're making here?",2.4
1557,So the capitalist machine prevents you from having the button?,3.68
1558,Yeah.,0.12
1559,And it will have it.,0.6
1560,"I mean, this is true for the AIs too, right?",1.58
1561,There's no turning the AIs off.,1.54
1562,There's no button.,0.8
1563,You can't press it.,0.7
1564,"Now, does Mark Zuckerberg have that button for facebook.com?",3.14
1565,"Yes, probably more.",0.94
1566,I think he does.,0.66
1567,I think he does.,0.94
1568,And this is exactly what I mean and why I bet on him so much more than I bet on Google.,4.6
1569,I guess you could say Elon has similar stuff.,1.92
1570,"Oh, Elon has the button.",1.06
1571,Yeah.,0.18
1572,"Does Elon, can Elon fire the missiles?",1.96
1573,Can he fire the missiles?,0.9
1574,I think some questions are better left unasked.,3.54
1575,Right?,0.3
1576,"I mean, you know, a rocket and an ICBM, well, you're a rocket that can land anywhere.",3.92
1577,Isn't that an ICBM?,0.84
1578,"Well, you know, don't ask too many questions.",1.8
1579,God.,0.46
1580,"My But the positive side of the button is that you can innovate aggressively, is what you're saying.",8.2
1581,Which is what's required with turning LLM into a search engine.,4.02
1582,I would bet on a startup.,0.74
1583,"I'd bet on- Because it's so easy, right?",1.04
1584,"I'd bet on something that looks like mid-journey, but for search.",2.82
1585,Just is able to site source a loop on itself.,2.44
1586,"I mean, it just feels like one model can take off.",1.86
1587,Yeah.,0.16
1588,Right?,0.16
1589,And nice wrapper.,0.72
1590,"And some of it, I mean, it's hard to like create a product that just works really nicely, stably.",5.52
1591,The other thing that's gonna be cool is there is some aspect of a winner-take-all effect.,4.22
1592,Right?,0.14
1593,"Like once someone starts deploying a product that gets a lot of usage, and you see this with open AI, they are going to get the dataset to train future versions of the model.",9.82
1594,Yeah.,0.28
1595,"They are going to be able to, you know, I was actually at Google Image Search when I worked there like almost 15 years ago now.",5.32
1596,How does Google know which image is an apple?,1.64
1597,"And I said, the metadata.",0.76
1598,"And they're like, yeah, that works about half the time.",1.62
1599,How does Google know?,0.66
1600,You'll see they're all apples on the front page when you search apple.,2.08
1601,"And I don't know, I didn't come up with the answer.",2.3
1602,"The guy's like, well, it's what people click on when they search apple.",1.86
1603,"I'm like, oh, yeah.",0.78
1604,"Yeah, yeah, that data is really, really powerful.",2.34
1605,It's the human supervision.,0.82
1606,What do you think are the chances?,1.3
